Begrotingsjaar;Valuta;eenheid;Uitgaven (U) Verplichtingen (V) Ontvangsten (O);Begrotingsstaat;Onderdeel;Omschrijving;ontwerpbegroting;vastgestelde begroting;1ste suppletoire begroting;2de suppletoire begroting;Realisatie;Url
2014;Euro;x1000;U;V, Buitenlandse Zaken;43;Europese Samenwerking;7824896;;;;;
2014;Euro;x1000;U;V, Buitenlandse Zaken;44;Consulaire belangenbehartiging;53291;;;;;
2014;Euro;x1000;U;V, Buitenlandse Zaken;45;Geheim;31;;;;;
2014;Euro;x1000;U;V, Buitenlandse Zaken;46;Nominaal en onvoorzien;67011;;;;;
2014;Euro;x1000;U;V, Buitenlandse Zaken;47;Apparaat;744195;;;;;
2014;Euro;x1000;O;V, Buitenlandse Zaken;-;TOTAAL;764408;;;;;
2014;Euro;x1000;O;V, Buitenlandse Zaken;41;Internationale rechtsorde en eerbiediging mensenrechten;0;;;;;
2014;Euro;x1000;O;V, Buitenlandse Zaken;42;Veiligheid en stabiliteit;1168;;;;;
2014;Euro;x1000;O;V, Buitenlandse Zaken;43;Europese Samenwerking;693700;;;;;
2014;Euro;x1000;O;V, Buitenlandse Zaken;44;Consulaire belangenbehartiging;42090;;;;;
2014;Euro;x1000;O;V, Buitenlandse Zaken;45;Geheim;0;;;;;
2014;Euro;x1000;O;V, Buitenlandse Zaken;46;Nominaal en onvoorzien;0;;;;;
2014;Euro;x1000;O;V, Buitenlandse Zaken;47;Apparaat;27450;;;;;
2014;Euro;x1000;V;V, Buitenlandse Zaken;-;TOTAAL;8811650;;;;;
2014;Euro;x1000;V;V, Buitenlandse Zaken;41;Internationale rechtsorde en eerbiediging mensenrechten;87367;;;;;
2014;Euro;x1000;V;V, Buitenlandse Zaken;42;Veiligheid en stabiliteit;244167;;;;;
2014;Euro;x1000;V;V, Buitenlandse Zaken;43;Europese Samenwerking;7658640;;;;;
2014;Euro;x1000;V;V, Buitenlandse Zaken;44;Consulaire belangenbehartiging;44311;;;;;
2014;Euro;x1000;V;V, Buitenlandse Zaken;45;Geheim;31;;;;;
2014;Euro;x1000;V;V, Buitenlandse Zaken;46;Nominaal en onvoorzien;67011;;;;;
2014;Euro;x1000;V;V, Buitenlandse Zaken;47;Apparaat;710123;;;;;
2014;Euro;x1000;U;VI, Veiligheid en Justitie;-;TOTAAL;11807861;;;;;
2014;Euro;x1000;U;VI, Veiligheid en Justitie;31;Nationale Politie;5155411;;;;;
2014;Euro;x1000;U;VI, Veiligheid en Justitie;32;Rechtspleging en rechtsbijstand;1509230;;;;;
2014;Euro;x1000;U;VI, Veiligheid en Justitie;33;Veiligheid en criminaliteitsbestrijding;742753;;;;;
2014;Euro;x1000;U;VI, Veiligheid en Justitie;34;Sanctietoepassing;2271998;;;;;
2014;Euro;x1000;U;VI, Veiligheid en Justitie;35;Jeugd;738464;;;;;
2014;Euro;x1000;U;VI, Veiligheid en Justitie;36;Contraterrorisme en Nationaal Veiligheidsbeleid;253413;;;;;
2014;Euro;x1000;U;VI, Veiligheid en Justitie;37;Vreemdelingen;681201;;;;;
2014;Euro;x1000;U;VI, Veiligheid en Justitie;91;Apparaatsuitgaven kerndepartement;410369;;;;;
2014;Euro;x1000;U;VI, Veiligheid en Justitie;92;Nominaal en onvoorzien;41965;;;;;
2014;Euro;x1000;U;VI, Veiligheid en Justitie;93;Geheim;3057;;;;;
2014;Euro;x1000;O;VI, Veiligheid en Justitie;-;TOTAAL;1353330;;;;;
2014;Euro;x1000;O;VI, Veiligheid en Justitie;31;Nationale Politie;500;;;;;
2014;Euro;x1000;O;VI, Veiligheid en Justitie;32;Rechtspleging en rechtsbijstand;313839;;;;;
2014;Euro;x1000;O;VI, Veiligheid en Justitie;33;Veiligheid en criminaliteitsbestrijding;1036798;;;;;
2014;Euro;x1000;O;VI, Veiligheid en Justitie;34;Sanctietoepassing;0;;;;;
2014;Euro;x1000;O;VI, Veiligheid en Justitie;35;Jeugd;1487;;;;;
2014;Euro;x1000;O;VI, Veiligheid en Justitie;36;Contraterrorisme en Nationaal Veiligheidsbeleid;0;;;;;
2014;Euro;x1000;O;VI, Veiligheid en Justitie;37;Vreemdelingen;0;;;;;
2014;Euro;x1000;O;VI, Veiligheid en Justitie;91;Apparaatsuitgaven kerndepartement;706;;;;;
2014;Euro;x1000;O;VI, Veiligheid en Justitie;92;Nominaal en onvoorzien;0;;;;;
2014;Euro;x1000;O;VI, Veiligheid en Justitie;93;Geheim;0;;;;;
2014;Euro;x1000;V;VI, Veiligheid en Justitie;-;TOTAAL;11807861;;;;;
2014;Euro;x1000;V;VI, Veiligheid en Justitie;31;Nationale Politie;5155411;;;;;
2014;Euro;x1000;V;VI, Veiligheid en Justitie;32;Rechtspleging en rechtsbijstand;1509230;;;;;
2014;Euro;x1000;V;VI, Veiligheid en Justitie;33;Veiligheid en criminaliteitsbestrijding;742753;;;;;
2014;Euro;x1000;V;VI, Veiligheid en Justitie;34;Sanctietoepassing;2271998;;;;;
2014;Euro;x1000;V;VI, Veiligheid en Justitie;35;Jeugd;738464;;;;;
2014;Euro;x1000;V;VI, Veiligheid en Justitie;36;Contraterrorisme en Nationaal Veiligheidsbeleid;253413;;;;;
2014;Euro;x1000;V;VI, Veiligheid en Justitie;37;Vreemdelingen;681201;;;;;
2014;Euro;x1000;V;VI, Veiligheid en Justitie;91;Apparaatsuitgaven kerndepartement;410369;;;;;
2014;Euro;x1000;V;VI, Veiligheid en Justitie;92;Nominaal en onvoorzien;41965;;;;;
2014;Euro;x1000;V;VI, Veiligheid en Justitie;93;Geheim;3057;;;;;
2014;Euro;x1000;U;VII, Binnenlandse Zaken;-;TOTAAL;631396;;;;;
2014;Euro;x1000;U;VII, Binnenlandse Zaken;61;Openbaar bestuur en democratie;32629;;;;;
2014;Euro;x1000;U;VII, Binnenlandse Zaken;62;Algemene Inlichtingen- en Veiligheidsdienst;188892;;;;;
2014;Euro;x1000;U;VII, Binnenlandse Zaken;66;Dienstverlenende en innovatieve overheid;104758;;;;;
2014;Euro;x1000;U;VII, Binnenlandse Zaken;67;Arbeidszaken overheid;38897;;;;;
2014;Euro;x1000;U;VII, Binnenlandse Zaken;71;Centraal Apparaat;192827;;;;;
2014;Euro;x1000;U;VII, Binnenlandse Zaken;72;Algemeen;2164;;;;;
2014;Euro;x1000;U;VII, Binnenlandse Zaken;73;Nominaal en onvoorzien;1229;;;;;
2014;Euro;x1000;U;VII, Binnenlandse Zaken;74;VUT-fonds;70000;;;;;
2014;Euro;x1000;O;VII, Binnenlandse Zaken;-;TOTAAL;383524;;;;;
2014;Euro;x1000;O;VII, Binnenlandse Zaken;61;Openbaar bestuur en democratie;24865;;;;;
2014;Euro;x1000;O;VII, Binnenlandse Zaken;62;Algemene Inlichtingen- en Veiligheidsdienst;12714;;;;;
2014;Euro;x1000;O;VII, Binnenlandse Zaken;66;Dienstverlenende en innovatieve overheid;3350;;;;;
